,frase
55,"O/A Sr.  Hugh Woolner sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine C52, classe A. Pagou US$ 35.5 pelo bilhete 19947. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
56,"O/A Sra.  Emily Rugg sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 10.5 pelo bilhete C.A. 31026. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
57,"O/A Sr.  Mansouer Novel não sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.23 pelo bilhete 2697. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
58,"O/A Sra.  Constance Mirium West sobreviveu ao acidente do Titanic. Na época, contava com 5 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 27.75 pelo bilhete C.A. 34651. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
59,"O/A Sr.  William Frederick Goodwin não sobreviveu ao acidente do Titanic. Na época, contava com 11 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 46.9 pelo bilhete CA 2144. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
60,"O/A Sr.  Orsen Sirayanian não sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.23 pelo bilhete 2669. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
61,"O/A Sra.  Amelie Icard sobreviveu ao acidente do Titanic. Na época, contava com 38 anos, embarcou em cidade desconhecida, na cabine B28, classe A. Pagou US$ 80.0 pelo bilhete 113572. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
62,"O/A Sr.  Henry Birkhardt Harris não sobreviveu ao acidente do Titanic. Na época, contava com 45 anos, embarcou em Southampton, na cabine C83, classe A. Pagou US$ 83.48 pelo bilhete 36973. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
63,"O/A Sr.  Harald Skoog não sobreviveu ao acidente do Titanic. Na época, contava com 4 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 27.9 pelo bilhete 347088. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
64,"O/A Sr.  Albert A Stewart não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe A. Pagou US$ 27.72 pelo bilhete PC 17605. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
65,"O/A Sr.  Gerios Moubarek sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 15.25 pelo bilhete 2661. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
66,"O/A Sra.  (Elizabeth Ramell) Nye sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine F33, classe B. Pagou US$ 10.5 pelo bilhete C.A. 29395. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
67,"O/A Sr.  Ernest James Crease não sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.16 pelo bilhete S.P. 3464. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
68,"O/A Sra.  Erna Alexandra Andersson sobreviveu ao acidente do Titanic. Na época, contava com 17 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.92 pelo bilhete 3101281. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
69,"O/A Sr.  Vincenz Kink não sobreviveu ao acidente do Titanic. Na época, contava com 26 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.66 pelo bilhete 315151. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
70,"O/A Sr.  Stephen Curnow Jenkin não sobreviveu ao acidente do Titanic. Na época, contava com 32 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 10.5 pelo bilhete C.A. 33111. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
71,"O/A Sra.  Lillian Amy Goodwin não sobreviveu ao acidente do Titanic. Na época, contava com 16 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 46.9 pelo bilhete CA 2144. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
72,"O/A Sr.  Ambrose Jr Hood não sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 73.5 pelo bilhete S.O.C. 14879. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
73,"O/A Sr.  Apostolos Chronopoulos não sobreviveu ao acidente do Titanic. Na época, contava com 26 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 14.45 pelo bilhete 2680. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
74,"O/A Sr.  Lee Bing sobreviveu ao acidente do Titanic. Na época, contava com 32 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 56.5 pelo bilhete 1601. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
75,"O/A Sr.  Sigurd Hansen Moen não sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Southampton, na cabine F G73, classe C. Pagou US$ 7.65 pelo bilhete 348123. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
76,"O/A Sr.  Ivan Staneff não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349208. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
77,"O/A Sr.  Rahamin Haim Moutal não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete 374746. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
78,"O/A Sr.  Alden Gates Caldwell sobreviveu ao acidente do Titanic. Na época, contava com 0 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 29.0 pelo bilhete 248738. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
79,"O/A Sra.  Elizabeth Dowdell sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 12.48 pelo bilhete 364516. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
80,"O/A Sr.  Achille Waelens não sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.0 pelo bilhete 345767. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
81,"O/A Sr.  Jan Baptist Sheerlinck sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.5 pelo bilhete 345779. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
82,"O/A Sra.  Brigdet Delia McDermott sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.79 pelo bilhete 330932. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
83,"O/A Sr.  Francisco M Carrau não sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine desconhecida, classe A. Pagou US$ 47.1 pelo bilhete 113059. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
84,"O/A Sra.  Bertha Ilett sobreviveu ao acidente do Titanic. Na época, contava com 17 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 10.5 pelo bilhete SO/C 14885. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
85,"O/A Sra.  Karl Alfred (Maria Mathilda Gustafsson) Backstrom sobreviveu ao acidente do Titanic. Na época, contava com 33 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 15.85 pelo bilhete 3101278. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
86,"O/A Sr.  William Neal Ford não sobreviveu ao acidente do Titanic. Na época, contava com 16 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 34.38 pelo bilhete W./C. 6608. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
87,"O/A Sr.  Selman Francis Slocovski não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete SOTON/OQ 392086. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
88,"O/A Sra.  Mabel Helen Fortune sobreviveu ao acidente do Titanic. Na época, contava com 23 anos, embarcou em Southampton, na cabine C23 C25 C27, classe A. Pagou US$ 263.0 pelo bilhete 19950. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
89,"O/A Sr.  Francesco Celotti não sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete 343275. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
90,"O/A Sr.  Emil Christmann não sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete 343276. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
91,"O/A Sr.  Paul Edvin Andreasson não sobreviveu ao acidente do Titanic. Na época, contava com 20 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.85 pelo bilhete 347466. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
92,"O/A Sr.  Herbert Fuller Chaffee não sobreviveu ao acidente do Titanic. Na época, contava com 46 anos, embarcou em Southampton, na cabine E31, classe A. Pagou US$ 61.18 pelo bilhete W.E.P. 5734. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
93,"O/A Sr.  Bertram Frank Dean não sobreviveu ao acidente do Titanic. Na época, contava com 26 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 20.58 pelo bilhete C.A. 2315. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
94,"O/A Sr.  Daniel Coxon não sobreviveu ao acidente do Titanic. Na época, contava com 59 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.25 pelo bilhete 364500. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
95,"O/A Sr.  Charles Joseph Shorney não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete 374910. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
96,"O/A Sr.  George B Goldschmidt não sobreviveu ao acidente do Titanic. Na época, contava com 71 anos, embarcou em Cherbourg, na cabine A5, classe A. Pagou US$ 34.65 pelo bilhete PC 17754. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
97,"O/A Sr.  William Bertram Greenfield sobreviveu ao acidente do Titanic. Na época, contava com 23 anos, embarcou em Cherbourg, na cabine D10 D12, classe A. Pagou US$ 63.36 pelo bilhete PC 17759. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
98,"O/A Sra.  John T (Ada Julia Bone) Doling sobreviveu ao acidente do Titanic. Na época, contava com 34 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 23.0 pelo bilhete 231919. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
99,"O/A Sr.  Sinai Kantor não sobreviveu ao acidente do Titanic. Na época, contava com 34 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 244367. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
100,"O/A Sra.  Matilda Petranec não sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349245. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
